"","Year","Genus","Export.region","Exporter.reported.quantity","Purpose","Source"
"29102",2020,"Chlorocebus","America",50,"M","C"
"29103",2020,"Chlorocebus","America",420,"M","W"
"29113",2020,"Chlorocebus","America",NA,"T","C"
"29114",2020,"Chlorocebus","America",NA,"T","W"
"29115",2020,"Chlorocebus","America",60,"T","C"
"29116",2020,"Chlorocebus","America",719,"T","W"
"29134",2020,"Colobus","Africa",30,"","W"
"29135",2020,"Colobus","Asia",54,"Z","C"
"29136",2020,"Colobus","Africa",4,"Z","C"
"29137",2020,"Colobus","Africa",7,"","W"
"29138",2020,"Colobus","Africa",10,"","W"
"29144",2020,"Colobus","Africa",NA,"T","W"
"29145",2020,"Colobus","Africa",6,"Z","C"
"29149",2020,"Erythrocebus","Asia",165,"Z","C"
"29153",2020,"Erythrocebus","Africa",3,"","W"
"29155",2020,"Erythrocebus","Africa",30,"","W"
"29160",2020,"Lophocebus","Africa",NA,"L","I"
"29161",2020,"Lophocebus","Africa",5,"T","W"
"29228",2020,"Macaca","Asia",1416,"T","C"
"29388",2020,"Macaca","Asia",2793,"T","F"
"29389",2020,"Macaca","Asia",3500,"T","C"
"29426",2020,"Macaca","Africa",NA,"M","C"
"29451",2020,"Macaca","Asia",265,"T","C"
"29452",2020,"Macaca","Asia",NA,"T","C"
"29464",2020,"Macaca","Africa",1944,"M","C"
"29470",2020,"Macaca","Asia",1186,"T","C"
"29471",2020,"Macaca","Asia",NA,"M","C"
"29472",2020,"Macaca","Asia",NA,"T","C"
"29492",2020,"Macaca","Africa",NA,"M","C"
"29493",2020,"Macaca","Africa",NA,"M","F"
"29494",2020,"Macaca","Africa",1009,"M","C"
"29495",2020,"Macaca","Africa",171,"M","F"
"29519",2020,"Macaca","Asia",NA,"M","C"
"29520",2020,"Macaca","Asia",860,"T","C"
"29530",2020,"Macaca","Africa",NA,"M","C"
"29531",2020,"Macaca","Africa",1196,"M","C"
"29555",2020,"Macaca","Asia",NA,"M","C"
"29556",2020,"Macaca","Asia",178,"T","C"
"29615",2020,"Macaca","Asia",NA,"T","C"
"29616",2020,"Macaca","Asia",NA,"T","F"
"29617",2020,"Macaca","Asia",1573,"T","C"
"29618",2020,"Macaca","Asia",2160,"T","F"
"29636",2020,"Macaca","Asia",1814,"T","C"
"29656",2020,"Macaca","Asia",NA,"M","C"
"29657",2020,"Macaca","Asia",540,"M","C"
"29676",2020,"Macaca","Asia",NA,"M","C"
"29677",2020,"Macaca","Asia",554,"T","C"
"29771",2020,"Macaca","Asia",NA,"S","C"
"29772",2020,"Macaca","Asia",41,"T","C"
"29831",2020,"Macaca","Asia",NA,"S","C"
"29926",2020,"Macaca","Asia",120,"T","F"
"29956",2020,"Macaca","Asia",NA,"T","C"
"29957",2020,"Macaca","Asia",19917,"T","C"
"29958",2020,"Macaca","Asia",360,"T","D"
"29967",2020,"Macaca","Africa",NA,"T","C"
"29968",2020,"Macaca","Africa",NA,"M","C"
"29969",2020,"Macaca","Africa",NA,"M","F"
"29970",2020,"Macaca","Africa",NA,"M","W"
"29971",2020,"Macaca","Africa",2426,"M","C"
"29972",2020,"Macaca","Africa",2523,"M","F"
"29973",2020,"Macaca","Africa",2285,"M","W"
"29994",2020,"Macaca","Asia",NA,"S","C"
"29995",2020,"Macaca","Asia",350,"M","C"
"30006",2020,"Macaca","Asia",480,"T","C"
"30025",2020,"Macaca","Asia",NA,"T","C"
"30089",2020,"Macaca","Asia",NA,"S","C"
"30094",2020,"Macaca","Asia",NA,"S","C"
"30108",2020,"Macaca","Asia",2,"Q","C"
"30119",2020,"Macaca","Asia",NA,"S","C"
"30120",2020,"Macaca","Asia",NA,"T","C"
"30148",2020,"Macaca","Asia",NA,"Q","C"
"30149",2020,"Macaca","Asia",1,"Q","C"
"30154",2020,"Macaca","Asia",1,"Q","C"
"30167",2020,"Papio","Asia",90,"Z","C"
"30260",2020,"Papio","Asia",38,"Z","C"
"30539",2020,"Galago","Africa",90,"T","W"
"30541",2020,"Galago","Africa",100,"T","W"
"30542",2020,"Galago","Africa",120,"T","W"
"30543",2020,"Galago","Africa",NA,"B","C"
"30544",2020,"Galago","Africa",170,"T","C"
"30545",2020,"Galago","Africa",10,"T","W"
"30546",2020,"Otolemur","Africa",50,"T","W"
"30548",2020,"Otolemur","Africa",50,"T","W"
"30549",2020,"Otolemur","Africa",50,"T","W"
"30550",2020,"Otolemur","Africa",65,"T","W"
"30551",2020,"Perodicticus","Africa",10,"T","W"
"30552",2020,"Perodicticus","Africa",16,"B","W"
"30557",2020,"Pithecia","America",6,"T","W"
"30558",2020,"Pithecia","Africa",2,"Z","C"
"30564",2020,"Tarsius","Asia",2,"T","C"
"30613",2021,"Saguinus","Africa",NA,"Z","C"
"30614",2021,"Saguinus","Africa",70,"Z","C"
"30620",2021,"Saguinus","Africa",2,"B","C"
"30704",2021,"Pan","Asia",NA,"Z","C"
"30705",2021,"Pan","Asia",1,"Z","C"
"30706",2021,"Pan","Asia",NA,"S",""
"30707",2021,"Pan","America",NA,"Z","C"
"30711",2021,"Pongo","Asia",4,"Z","W"
"30723",2021,"Pongo","Asia",2,"Z","C"
"30726",2021,"Pongo","Asia",NA,"Z","F"
"30732",2021,"Hylobates","Asia",NA,"E","C"
"30733",2021,"Hylobates","Asia",12,"Z","W"
"30750",2021,"Eulemur","Asia",2,"Z","C"
"30757",2021,"Lemur","Asia",4,"T","C"
"30781",2021,"Lemur","Asia",1,"Z","C"
"30811",2021,"Aotus","America",8,"T","C"
"30826",2021,"Ateles","America",NA,"Z","W"
"30827",2021,"Ateles","America",8,"Z","W"
"30847",2021,"Callithrix","Africa",NA,"P","C"
"30848",2021,"Callithrix","Africa",NA,"Z","C"
"30849",2021,"Callithrix","Africa",53,"T","C"
"30850",2021,"Callithrix","Africa",30,"Z","C"
"30851",2021,"Callithrix","Africa",68,"T","C"
"30869",2021,"Callithrix","Africa",65,"T","C"
"30870",2021,"Callithrix","Africa",NA,"Z","C"
"30872",2021,"Callithrix","Africa",40,"T","C"
"30874",2021,"Callithrix","Africa",24,"T","C"
"30877",2021,"Callithrix","Africa",36,"T","C"
"30890",2021,"Callithrix","Africa",160,"T","C"
"30892",2021,"Callithrix","Africa",NA,"Z","C"
"30893",2021,"Callithrix","Africa",51,"T","C"
"30894",2021,"Callithrix","Africa",30,"Z","C"
"30895",2021,"Callithrix","Africa",64,"T","C"
"30897",2021,"Callithrix","Africa",64,"T","C"
"30898",2021,"Callithrix","Africa",NA,"Z","C"
"30899",2021,"Callithrix","Africa",36,"T","C"
"30900",2021,"Callithrix","Africa",18,"T","C"
"30901",2021,"Callithrix","Africa",32,"T","C"
"30902",2021,"Callithrix","Africa",60,"T","C"
"30925",2021,"Cebus","America",NA,"Z","W"
"30926",2021,"Cebus","America",28,"Z","W"
"30927",2021,"Cebus","Africa",32,"T","C"
"30932",2021,"Cebus","Africa",24,"T","C"
"30933",2021,"Cebus","America",10,"Z","W"
"30934",2021,"Cebus","Africa",NA,"T","C"
"30935",2021,"Cebus","Africa",4,"T","C"
"30936",2021,"Cebus","Africa",28,"T","C"
"30939",2021,"Cebus","America",64,"T","W"
"30941",2021,"Cebus","America",2,"Z","W"
"30944",2021,"Cebus","Africa",2,"T","C"
"30955",2021,"Cebus","America",14,"Z","W"
"30994",2021,"Saguinus","America",NA,"Z","W"
"30995",2021,"Saguinus","America",60,"Z","W"
"30996",2021,"Saguinus","Africa",NA,"Z","C"
"30997",2021,"Saguinus","Africa",35,"Z","C"
"30999",2021,"Saguinus","Africa",32,"T","C"
"31001",2021,"Saguinus","Africa",48,"T","C"
"31002",2021,"Saguinus","Africa",NA,"Z","C"
"31005",2021,"Saguinus","Africa",28,"T","C"
"31006",2021,"Saguinus","America",6,"Z","W"
"31007",2021,"Saguinus","Africa",10,"T","C"
"31008",2021,"Saguinus","Africa",2,"B","C"
"31011",2021,"Saguinus","Africa",24,"T","C"
"31013",2021,"Saguinus","Asia",4,"Z","C"
"31018",2021,"Saimiri","Africa",52,"T","C"
"31021",2021,"Saimiri","America",NA,"Z","W"
"31022",2021,"Saimiri","America",60,"Z","W"
"31028",2021,"Saimiri","Africa",NA,"Z","C"
"31030",2021,"Saimiri","America",20,"Z","W"
"31033",2021,"Saimiri","America",5,"Z","W"
"31037",2021,"Allochrocebus","Africa",6,"T","W"
"31043",2021,"Cercocebus","Africa",1,"T","W"
"31044",2021,"Cercocebus","Asia",6,"Z","C"
"31047",2021,"Cercopithecus","Africa",2,"T","W"
"31049",2021,"Cercopithecus","Africa",2,"T","W"
"31052",2021,"Cercopithecus","Africa",12,"T","W"
"31053",2021,"Cercopithecus","Asia",9,"Z","C"
"31054",2021,"Cercopithecus","Africa",6,"T","W"
"31058",2021,"Cercopithecus","Africa",6,"T","W"
"31060",2021,"Cercopithecus","Asia",5,"Z","C"
"31061",2021,"Cercopithecus","Africa",6,"T","W"
"31063",2021,"Cercopithecus","Asia",6,"Z","C"
"31066",2021,"Cercopithecus","Africa",6,"T","W"
"31279",2021,"Chlorocebus","Africa",200,"T","C"
"31280",2021,"Chlorocebus","Africa",150,"T","W"
"31287",2021,"Chlorocebus","Asia",30,"T","C"
"31293",2021,"Chlorocebus","Africa",255,"","W"
"31312",2021,"Chlorocebus","America",21,"M","C"
"31313",2021,"Chlorocebus","America",9,"M","W"
"31332",2021,"Chlorocebus","Africa",200,"","W"
"31333",2021,"Chlorocebus","Asia",80,"T","C"
"31336",2021,"Chlorocebus","America",70,"M","W"
"31341",2021,"Chlorocebus","America",120,"M","C"
"31342",2021,"Chlorocebus","America",100,"M","W"
"31343",2021,"Chlorocebus","America",150,"T","C"
"31344",2021,"Chlorocebus","America",298,"T","W"
"31383",2021,"Erythrocebus","Africa",1,"T","W"
"31396",2021,"Lophocebus","Africa",6,"T","W"
"31397",2021,"Lophocebus","Asia",11,"Z","C"
"31443",2021,"Macaca","Asia",720,"T","C"
"31448",2021,"Macaca","Africa",178,"M","C"
"31449",2021,"Macaca","Africa",270,"M","F"
"31552",2021,"Macaca","Asia",1000,"T","F"
"31553",2021,"Macaca","Asia",3500,"T","C"
"31600",2021,"Macaca","Asia",317,"T","C"
"31623",2021,"Macaca","Africa",NA,"M","C"
"31624",2021,"Macaca","Africa",2789,"M","C"
"31627",2021,"Macaca","Asia",NA,"M","C"
"31628",2021,"Macaca","Asia",1370,"T","C"
"31656",2021,"Macaca","Africa",NA,"M","C"
"31657",2021,"Macaca","Africa",NA,"M","F"
"31658",2021,"Macaca","Africa",198,"M","C"
"31659",2021,"Macaca","Africa",270,"M","F"
"31671",2021,"Macaca","Asia",NA,"M","C"
"31672",2021,"Macaca","Asia",920,"T","C"
"31735",2021,"Macaca","Africa",NA,"M","C"
"31736",2021,"Macaca","Africa",NA,"M","C"
"31737",2021,"Macaca","Africa",1041,"M","C"
"31767",2021,"Macaca","Asia",NA,"M","C"
"31768",2021,"Macaca","Asia",94,"T","C"
"31826",2021,"Macaca","Asia",NA,"T","C"
"31827",2021,"Macaca","Asia",NA,"T","F"
"31828",2021,"Macaca","Asia",3171,"T","C"
"31840",2021,"Macaca","Asia",1806,"T","C"
"31848",2021,"Macaca","America",NA,"M","C"
"31865",2021,"Macaca","Asia",NA,"M","C"
"31866",2021,"Macaca","Asia",NA,"M","C"
"31867",2021,"Macaca","Asia",690,"T","C"
"31881",2021,"Macaca","Asia",NA,"M","C"
"31882",2021,"Macaca","Asia",NA,"S","C"
"31883",2021,"Macaca","Asia",308,"T","C"
"31905",2021,"Macaca","Asia",240,"T","C"
"31919",2021,"Macaca","Asia",1,"P","F"
"31945",2021,"Macaca","Asia",NA,"S","C"
"31946",2021,"Macaca","Asia",86,"T","C"
"32040",2021,"Macaca","Asia",240,"T","F"
"32041",2021,"Macaca","Asia",360,"T","W"
"32052",2021,"Macaca","Asia",10,"M","C"
"32062",2021,"Macaca","Asia",10,"M","W"
"32068",2021,"Macaca","Asia",18786,"T","C"
"32073",2021,"Macaca","Africa",2459,"M","C"
"32074",2021,"Macaca","Africa",3409,"M","F"
"32075",2021,"Macaca","Africa",3965,"M","W"
"32087",2021,"Macaca","Asia",705,"T","C"
"32095",2021,"Macaca","Asia",2112,"T","C"
"32170",2021,"Macaca","Asia",2,"Q","C"
"32172",2021,"Macaca","Asia",100,"T","C"
"32256",2021,"Papio","Asia",NA,"",""
"32506",2021,"Trachypithecus","Asia",2,"Z","C"
"32507",2021,"Trachypithecus","Asia",NA,"Z","C"
"32509",2021,"Galago","Africa",10,"T","W"
"32510",2021,"Galago","Africa",20,"T","W"
"32511",2021,"Galago","Africa",NA,"T","W"
"32513",2021,"Galago","Africa",8,"T","C"
"32514",2021,"Galago","Africa",50,"T","W"
"32515",2021,"Galago","Africa",NA,"T","W"
"32516",2021,"Galago","Africa",320,"T","C"
"32517",2021,"Galago","Africa",20,"T","W"
"32522",2021,"Galago","Africa",10,"T","W"
"32523",2021,"Galago","Africa",NA,"T","W"
"32524",2021,"Otolemur","Africa",80,"T","W"
"32525",2021,"Otolemur","Africa",NA,"T","W"
"32527",2021,"Perodicticus","Africa",4,"T","R"
"32528",2021,"Perodicticus","Africa",8,"T","W"
"32529",2021,"Perodicticus","Africa",30,"T","W"
"32530",2021,"Perodicticus","Africa",NA,"B","W"
"32531",2021,"Perodicticus","Africa",16,"T","W"
"32533",2021,"Chiropotes","America",24,"T","W"
"32544",2021,"Pithecia","America",NA,"B","W"
"32545",2021,"Pithecia","America",4,"T","W"
"32546",2021,"Pithecia","Africa",3,"T","C"
"32547",2021,"Pithecia","America",5,"T","W"
"32550",2021,"Tarsius","Asia",NA,"T","C"
"32589",2022,"Saguinus","Africa",14,"B","C"
"32592",2022,"Saguinus","Africa",10,"B","C"
"32668",2022,"Pan","Asia",3,"Z","I"
"32683",2022,"Pan","America",2,"E","F"
"32707",2022,"Pongo","Asia",1,"Z","I"
"32715",2022,"Pongo","Asia",NA,"Z","C"
"32724",2022,"Hylobates","Asia",NA,"Z","C"
"32746",2022,"Eulemur","Africa",16,"B","C"
"32761",2022,"Lemur","Asia",8,"B","C"
"32774",2022,"Lemur","Africa",4,"P","C"
"32786",2022,"Lemur","Africa",20,"B","C"
"32788",2022,"Lemur","Africa",14,"Z","C"
"32801",2022,"Lemur","Africa",13,"B","C"
"32811",2022,"Varecia","Asia",NA,"Z","C"
"32823",2022,"Varecia","Africa",1,"B","C"
"32845",2022,"Ateles","Africa",5,"T","C"
"32863",2022,"Callithrix","Africa",130,"T","C"
"32867",2022,"Callithrix","Africa",10,"T","C"
"32878",2022,"Callithrix","Africa",2,"P","C"
"32880",2022,"Callithrix","Asia",NA,"T","C"
"32882",2022,"Callithrix","Africa",30,"T","C"
"32884",2022,"Callithrix","Africa",16,"T","C"
"32887",2022,"Callithrix","Africa",20,"T","C"
"32888",2022,"Callithrix","Asia",2,"Z","C"
"32889",2022,"Callithrix","Asia",2,"Z","C"
"32890",2022,"Callithrix","Africa",20,"B","C"
"32891",2022,"Callithrix","Africa",20,"S","C"
"32892",2022,"Callithrix","Africa",155,"T","C"
"32902",2022,"Callithrix","Africa",160,"T","C"
"32906",2022,"Callithrix","Africa",4,"T","C"
"32907",2022,"Callithrix","Africa",112,"T","C"
"32908",2022,"Callithrix","Africa",10,"T","C"
"32912",2022,"Callithrix","Africa",30,"T","C"
"32913",2022,"Callithrix","Africa",25,"T","C"
"32928",2022,"Cebus","America",1,"S","W"
"32931",2022,"Cebus","America",NA,"T","W"
"32933",2022,"Cebus","Africa",4,"T","C"
"32943",2022,"Cebus","America",14,"Z","U"
"32946",2022,"Cebus","America",10,"T","C"
"32947",2022,"Cebus","Africa",10,"T","C"
"32959",2022,"Saguinus","Africa",3,"B","C"
"32974",2022,"Saguinus","Africa",2,"B","C"
"32976",2022,"Saguinus","Africa",16,"T","C"
"32978",2022,"Saguinus","Africa",10,"T","C"
"32984",2022,"Saguinus","Africa",10,"B","C"
"32985",2022,"Saguinus","Africa",10,"T","C"
"32986",2022,"Saguinus","Africa",8,"T","C"
"32995",2022,"Saimiri","America",70,"T","W"
"32998",2022,"Saimiri","America",NA,"T","W"
"33005",2022,"Allochrocebus","Africa",9,"T","W"
"33007",2022,"Allochrocebus","Africa",5,"T","W"
"33019",2022,"Cercocebus","Africa",10,"T","W"
"33025",2022,"Cercopithecus","Africa",30,"T","W"
"33027",2022,"Cercopithecus","Africa",10,"T","W"
"33033",2022,"Cercopithecus","Africa",50,"T","W"
"33034",2022,"Cercopithecus","Africa",10,"T","W"
"33040",2022,"Cercopithecus","Africa",10,"T","W"
"33041",2022,"Cercopithecus","Africa",10,"T","W"
"33042",2022,"Cercopithecus","Africa",5,"T","W"
"33044",2022,"Cercopithecus","Africa",10,"T","W"
"33048",2022,"Cercopithecus","Africa",30,"T","W"
"33052",2022,"Cercopithecus","Africa",6,"T","W"
"33055",2022,"Cercopithecus","Africa",6,"T","W"
"33056",2022,"Cercopithecus","Africa",30,"T","W"
"33059",2022,"Chlorocebus","Asia",NA,"T","C"
"33174",2022,"Chlorocebus","Asia",10,"Z","W"
"33229",2022,"Chlorocebus","Africa",83,"T","W"
"33266",2022,"Chlorocebus","Africa",110,"","W"
"33274",2022,"Chlorocebus","Africa",30,"T","W"
"33279",2022,"Chlorocebus","America",NA,"M","C"
"33303",2022,"Chlorocebus","Africa",256,"","W"
"33306",2022,"Chlorocebus","Africa",250,"","W"
"33307",2022,"Chlorocebus","America",5,"M","C"
"33308",2022,"Chlorocebus","America",286,"M","W"
"33319",2022,"Colobus","Africa",3,"T","C"
"33325",2022,"Colobus","Africa",5,"T","W"
"33330",2022,"Colobus","Africa",115,"T","W"
"33333",2022,"Colobus","Africa",1,"T","C"
"33340",2022,"Erythrocebus","Asia",8,"Z","W"
"33343",2022,"Erythrocebus","Africa",50,"T","W"
"33347",2022,"Erythrocebus","Africa",6,"T","W"
"33353",2022,"Lophocebus","Africa",10,"T","W"
"33359",2022,"Lophocebus","Africa",10,"T","W"
"33360",2022,"Lophocebus","Africa",15,"T","W"
"33487",2022,"Macaca","Asia",NA,"T","C"
"33517",2022,"Macaca","Africa",NA,"M","C"
"33518",2022,"Macaca","Africa",NA,"T","C"
"33522",2022,"Macaca","Asia",NA,"T","C"
"33561",2022,"Macaca","Africa",NA,"M","C"
"33562",2022,"Macaca","Africa",NA,"M","F"
"33574",2022,"Macaca","Asia",NA,"M","C"
"33637",2022,"Macaca","Africa",NA,"M","C"
"33666",2022,"Macaca","Asia",NA,"P","W"
"33693",2022,"Macaca","Asia",NA,"T","C"
"33694",2022,"Macaca","Asia",NA,"T","F"
"33705",2022,"Macaca","Asia",NA,"T","C"
"33736",2022,"Macaca","Asia",NA,"M","C"
"33806",2022,"Macaca","Asia",240,"T","F"
"33807",2022,"Macaca","Asia",510,"T","W"
"33823",2022,"Macaca","Asia",362,"T","C"
"33838",2022,"Macaca","Asia",NA,"Z","C"
"33883",2022,"Macaca","Asia",NA,"Q","C"
"33891",2022,"Macaca","Asia",1,"Q",""
"33901",2022,"Macaca","Asia",1,"Q",""
"33905",2022,"Macaca","Asia",NA,"Q","C"
"33906",2022,"Macaca","Asia",2,"Q",""
"33908",2022,"Macaca","Asia",2,"Q",""
"33916",2022,"Miopithecus","Africa",20,"T","W"
"33988",2022,"Papio","Asia",16,"Z","I"
"33994",2022,"Papio","Asia",NA,"T","C"
"34239",2022,"Galago","Africa",18,"T","C"
"34240",2022,"Galago","Africa",6,"Z","C"
"34241",2022,"Galago","Africa",NA,"T","C"
"34242",2022,"Galago","Africa",8,"T","C"
"34243",2022,"Galago","Africa",90,"T","C"
"34244",2022,"Galago","Africa",60,"Z","C"
"34245",2022,"Galago","Africa",20,"Z","C"
"34248",2022,"Galago","Asia",NA,"T","C"
"34252",2022,"Otolemur","Africa",50,"T","W"
"34253",2022,"Otolemur","Africa",30,"T","W"
"34259",2022,"Perodicticus","Africa",30,"T","W"
"34273",2022,"Pithecia","America",10,"T","W"
"34274",2022,"Pithecia","Africa",4,"T","C"
