Year,Genus,Count
2020,Macaca,4.697220622
2020,Callithrix,3.209246849
2020,Saimiri,2.230448921
2020,Chlorocebus,3.259115844
2020,Cercopithecus,1.69019608
2020,Cebus,2.056904851
2020,Galago,2.695481676
2020,Erythrocebus,1.579783597
2020,Saguinus,2.093421685
2020,Colobus,1.763427994
2019,Macaca,4.730766131
2019,Callithrix,3.305566314
2019,Saimiri,3.094121596
2019,Chlorocebus,3.030194785
2019,Cercopithecus,3.157456768
2019,Cebus,2.84260924
2019,Galago,2.894869657
2019,Erythrocebus,2.62838893
2019,Saguinus,2.503790683
2019,Colobus,1.897627091
2018,Macaca,4.749326556
2018,Callithrix,3.066325925
2018,Saimiri,3.192009593
2018,Chlorocebus,2.881384657
2018,Cercopithecus,2.837588438
2018,Cebus,2.680335513
2018,Galago,2.374748346
2018,Erythrocebus,2.352182518
2018,Saguinus,2.481442629
2018,Colobus,0.698970004
2017,Macaca,4.699855063
2017,Callithrix,3.294025094
2017,Saimiri,3.036229544
2017,Chlorocebus,2.939019776
2017,Cercopithecus,2.235528447
2017,Cebus,2.751279104
2017,Galago,2.33243846
2017,Erythrocebus,2.522444234
2017,Saguinus,2.619093331
2017,Colobus,2.257678575
2016,Macaca,4.686663077
2016,Callithrix,2.989004616
2016,Saimiri,2.749736316
2016,Chlorocebus,2.800029359
2016,Cercopithecus,2.161368002
2016,Cebus,2.694605199
2016,Galago,2.008600172
2016,Erythrocebus,2.10720997
2016,Saguinus,2.414973348
2016,Colobus,1.959041392
2015,Macaca,4.61953158
2015,Callithrix,2.92890769
2015,Saimiri,2.718501689
2015,Chlorocebus,2.811575006
2015,Cercopithecus,1.908485019
2015,Cebus,2.206825876
2015,Galago,2.352182518
2015,Erythrocebus,2.008600172
2015,Saguinus,2.42975228
2015,Colobus,1.113943352
2014,Macaca,4.69251204
2014,Callithrix,3.101403351
2014,Saimiri,2.748188027
2014,Chlorocebus,2.775974331
2014,Cercopithecus,2.307496038
2014,Cebus,2.42975228
2014,Galago,1.812913357
2014,Erythrocebus,1.755874856
2014,Saguinus,2.380211242
2014,Colobus,1.51851394
2013,Macaca,4.6086116
2013,Callithrix,2.980003372
2013,Saimiri,3.127428778
2013,Chlorocebus,2.72916479
2013,Cercopithecus,2.245512668
2013,Cebus,2.428134794
2013,Galago,1.204119983
2013,Erythrocebus,2.176091259
2013,Saguinus,2.423245874
2013,Colobus,1.785329835
2012,Macaca,4.544229324
2012,Callithrix,3.390581879
2012,Saimiri,2.688419822
2012,Chlorocebus,3.102090526
2012,Cercopithecus,1.799340549
2012,Cebus,2.290034611
2012,Galago,0
2012,Erythrocebus,1.716003344
2012,Saguinus,2.64246452
2012,Colobus,0
2011,Macaca,4.606263101
2011,Callithrix,3.098643726
2011,Saimiri,2.646403726
2011,Chlorocebus,3.174641193
2011,Cercopithecus,1.892094603
2011,Cebus,2.264817823
2011,Galago,0.903089987
2011,Erythrocebus,2.772321707
2011,Saguinus,2.342422681
2011,Colobus,0
2010,Macaca,4.657486108
2010,Callithrix,3.059184618
2010,Saimiri,2.975431809
2010,Chlorocebus,3.20790353
2010,Cercopithecus,2.127104798
2010,Cebus,2.50242712
2010,Galago,1.431363764
2010,Erythrocebus,2.053078443
2010,Saguinus,2.352182518
2010,Colobus,0
